week,date,cases,deaths
10,2020-03-10T00:00:00Z,1018,31
11,2020-03-17T00:00:00Z,5906,117
12,2020-03-24T00:00:00Z,53938,785
13,2020-03-31T00:00:00Z,188461,4304
14,2020-04-07T00:00:00Z,399394,14616
15,2020-04-14T00:00:00Z,610709,29318
16,2020-04-21T00:00:00Z,810505,44688
17,2020-04-28T00:00:00Z,1018844,58416
18,2020-05-05T00:00:00Z,1211011,71139
19,2020-05-12T00:00:00Z,1376747,82400
20,2020-05-19T00:00:00Z,1536554,91934
21,2020-05-26T00:00:00Z,1689440,98936
22,2020-06-02T00:00:00Z,1841953,106194
23,2020-06-09T00:00:00Z,1990396,112173
24,2020-06-16T00:00:00Z,2151403,116984
25,2020-06-23T00:00:00Z,2359878,121166
26,2020-06-30T00:00:00Z,2653243,127461
27,2020-07-07T00:00:00Z,3012084,131289
28,2020-07-14T00:00:00Z,3445331,136355
29,2020-07-21T00:00:00Z,3910148,142030
30,2020-07-28T00:00:00Z,4366696,149774
31,2020-08-04T00:00:00Z,4780115,157298
32,2020-08-11T00:00:00Z,5156919,164474
33,2020-08-18T00:00:00Z,5498361,171798
34,2020-08-25T00:00:00Z,5793345,178410
35,2020-09-01T00:00:00Z,6089379,184563
36,2020-09-08T00:00:00Z,6346637,189537
37,2020-09-15T00:00:00Z,6614112,195683
38,2020-09-22T00:00:00Z,6917928,200731
